7,,,,,,,,,,,,,Internal Medicine - Script,,,,Cardiology,,,,Dentistry,,,,Other,,
Location,Group,Business Name,Contact,Phone #,Address,email address,NG sent email with hiring letter,last con date,last con person,Note,Partner Status,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1
Culver/MidCity,,Centinela Animal Hospital,,(310) 673-1910,"721 Centinela Ave, Inglewood, CA 90302",centinela.animal@gmail.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hwood/East LA,,Hollywood Cat & Dog Hospital,Dr. Girgis,(323) 469-3000,"1146 N La Brea Ave, West Hollywood, CA 90038",Wehovets@gmail.com,11/7,6/1/2023,,"6/17- spoke to Andy and only one vet, Dr. Girgis and said to address email to him and he will get it- NG",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Independent,,"Annie Hernandez, DVM/ Santa Monica Pet Medical Center","Dr. Anthony George, Dr. Camille O'Donnell, Dr. Annie Hernandez, Dr. Katherine Hillebrand, Dr. Todd Schwarzmann, Dr. Courtney Williams, Dr. Susan Greenbaum",(310) 393-8218,"1534 14th St, Santa Monica, CA 90404",recp@petmedical.com,11/7,6/1/2023,,6/17- spoke to CC and she said Dr. Hernandez will be back on June 27th but when they receive an email they print it out and put it on her back- NG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Independent,,"Benjamin Rosnick, DVM",,(424) 270-9006,makes HC in LA and Long Beach areas,"benjamin.rosnick@drrosnick.com
",11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Independent,,Dr. May Vet House Calls,Dr. Armaiti May,310.614.3530,Serving Malibu and Surrounding Areas,,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Independent,,"Frank Lavac, DVM",,310.828.4587,VCA Wilshire Animal Hospital,Frank.lavac@vac.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Malibu,,Malibu Coast Animal Hospital,Dr. Dean Graulich,424.402.5100,"23431 Pacific Coast Highway, Malibu",,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marina/Venice/LAX,VCA,VCA Marina,,310.306.8707,"2506 Lincoln Blvd, Venice 90291","AU153@vcahospitals.com, (Medical Director) Steven.Thatcher@vca.com, mary.brandt@vca.com, jeffrey.eliot@vca.com, nina.mahoney@vca.com, elaine.martinez@vca.com, kevin.mcevilly@vca.com, sandra.milo@vca.com, adele.thornbury@vca.com",11/7,6/1/2023,,visit on 3/1/22 and drop off brochure- met with Dr. McEvilly (MRG),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marina/Venice/LAX,,Marina Veterinary Center,"Dr. Jarrod Moss, Dr. Karen Halligan",310.642.8080,"8421 Lincoln Blvd, Los Angeles, CA 90045",INFO@MARINAVET.COM,11/7,6/1/2023,3---9-,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marina/Venice/LAX,,Westchester Veterinary Center & Cat Clinic ,"Dr. Andrew Krieger, Dr. Sabrina Keigley, Dr. Tyler Carnahan, Dr. Benjamin Glicklin, Victor Cervantes, RVT, Jennifer Lawrence, RVT, BobbiJo Katagiri, Veterinary Assistant, David Cooper, Veterinary Assistant",310.645.4444,"8911 S Sepulveda Blvd, Los Angeles, CA 90045",info@westchestervet.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marina/Venice/LAX,, Animal Dermatology Clinic,"Craig Griffin, DVM, Wayne Rosenkrantz, DVM, Rusty Muse, DVM, Mona Boord, DVM, Mandy Burrows, BSc BVMS, Randall C. Thomas, DVM, Terri Bonenberger, DVM, Jenise Daigle, DVM, Joel Griffies, DVM, Heather Willis-Goulet, DVM, Lisa Akucewich, DVM, John Angus, DVM, Rudayna Ghubash, DVM, Colleen Mendelsohn, DVM, Allison Kirby, DVM, ",310.822.3376,"4834 Lincoln Blvd, Marina Del Rey, CA 90292",infomarinadelrey@adcmg.com,11/7,6/1/2023,,drop off bronchures on 3/1/22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Dogcatdoc@yourdoor,Dr. Cynthia Hervatic,310.780.9465,Serving the Westside,dogcatdoc@gmail.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Elite Veterinary Care,Dr. Kent,310.956.1702,"4139 Via Marina, Marina del Rey CA 90202",info@eliteveterinarycare.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Gold Coast Mobile Veterinary Care,Dr. Jeanine Au,310.528.4026,"Services South Bay, Culver City, Mid-City, WH, Marina del Rey, SM, West LA, PP, San Fernando Valley",DoctorAu@gcmvc.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Home Pet Doctor,Dr. Steve Smith,323.469.3442,Services Los Angeles,steve@homepetdoctor.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Dr. Jack Vet Services,Dr. Jack,323-591-4838,"578 Washington Blvd. #306 Marina del Rey, CA 90292",,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mobile,,Paws and Claws Mobile Vet,,,,,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,VCA,VCA Santa Monica Dog and Cat Hospital,"Dr. Gina Johnson, Nancy Nobles, Monique Washington",310.453.5459,"2010 Broadway., Santa Monica CA, 90404","Gina.Johnson@vca.com, Nancy.Nobles@vca.com, Monique.Washington@vca.com",11/7,6/1/2023,,"Visit on 3/1/22, gave brochures; met with Dr. Gina Johnson and Dr. Gina Furman (MRG)",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,VCA,VCA Wilshire,,"310.828.45887
","2421 Wilshire Blvd, Santa Monica, CA 90403","(Medical director) Frank.Lavac@vca.com, Jessica.baron@vca.com, Peter.castro@vca.com",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,,Jones Animal Hospital,Dr. Kenneth Jones,310.477.4400,"1708 17th St, Santa Monica, CA 90404",,11/7,6/1/2023,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,,Pasternak Vet Center,"Henry Pasternak D.V.M., C.V.A",310.268.2275,,info@pasternakvetcenter.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,,SM Pet Med Center,,310.393.8218,,"same as Annie Hernandez, DVM/ Santa Monica Pet Medical Center",11/7,6/1/2023,,"Vist on 3/1/22, drop off brochure and met with manager Robin Olivieri (310-393-8218) (MRG)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,,Stewart Vet Group,,310.207.0651,,info@stewartvet.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Santa Monica,,Animal Wellness Centers,"Dr. Annie Harvilicz, Dr. Pernilla Edstrom, Dr. Katarzyna, Dr. Ying Zhi Lim,",310.381.9481,"1217 Wilshire Blvd, Santa Monica, 90403",info@animalwellnesscenters.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
South Bay,,Family Pet Clinic of Redondo Beach,"Dr. Kimberly Daffner (Medical Director) Dr. Angela Randall, Dr. Joyce Wong, Dr. Jessica Friedman, Dr. Kara Carroll, Dr. Kristin Yang, Dr. Laura Schneider, ",310.376.0072,"2006 Artesia Blvd, Redondo Beach, CA 90278",frontdesk@familypetclinic.com,11/7,6/1/2023,,6/17- spoke to Lupita and she said to address to Owner/Medical Director Dr. Kimberly Daffner and it will get forwarded to her email- NG,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,THRIVE,Woodland Hills ACCESS Specialty Animals Hospital,"Emily Chapel, DVM, MS, DACVIM (Cardiology), Amelia Sinkin, VMD, DACVIM (Cardiology), Adam Eatroff, DVM, DACVIM (SAIM), Max Emanuel, VMD, DACVIM (SAIM), Jodi Kuntz, DVM, DACVIM (SAIM), Phillip Mick, DVM, DACVIM (SAIM), Melissa Andruzzi, DVM, DACVIM (Neurology), Timothy Krebs, DVM, DACVIM (Neurology), Kim Carey, DVM, DACVS, Annie Lo, DVM, DACVS, Sarah Cudney, DVM, DACVECC, Kathryn Gates, BVSc, DACVECC, Jeanette Hendricks, DVM, DACVECC, Rich Mills, DVM, DACVECC, AmandaThomer, VMD, DACVECC",818-887-2262,"20051 Ventura Blvd D, Woodland Hills, CA 91364",,11/7,6/1/2023,,Open 24 hours for emergencies,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,VCA,McClave Veterinary Hospital,,818-881-5102,"6950 Reseda Blvd., Reseda, CA 91335","Senta.Hutchinson@vca.com, Michelle.Juan@vca.com, Lorie.Kiss@vca.com, Nada.Khalaf@vca.com, Lori.Prater@vca.com, Hughes.Sanders@vca.com, Maegha.Singh@vca.com",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,VCA,McGrath Vet Center,"Grace Song, DVM, Brian McGrath, DVM, Michelle Miller, DVM",818.796.4550,"4560 Sherman Oaks Ave, Sherman Oaks, CA 91403","Senta.Hutchinson@vca.com, , Michelle.Juan@vca.com, Lorie.Kiss@vca.com, Nada.Khalaf@vca.com, Lori.Prater@vca.com, Hughes.Sanders@vca.com, Maegha.Singh@vca.com",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Animal Emergency Center (True Care for Pets),Office Manger Lindsey & Candice,818-760-3882,"11740 Ventura Blvd., Studio City, CA 91604",team@truecareforpets.com,11/7,6/1/2023,,"6/17-Called the number it is called True Care for Pets and spoke to Carla and she said when they get an email they forward to Office Manger Lindsey & Candice, just address to both of them- NG",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,"
Animal AM-Emergency Clinic","Dr. Craig Mohaghegh, Dr. Vicky Chan, Dr. Hsiang-ling Chang, Dr. Anna Satorius, Dr. Rebecca Wong",626-564-0704,"2121 E. Foothill Blvd, Pasadena, CA 91107", info@aaecp.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Animal Specialty Group,,818-244-7977,"4641 Colorado Blvd., Glendale, CA 90039","Andreas.Andreou@vca.com, Trista.Cheng@vca.com, Emily.Coddon@vca.com, Mickila.Collins@vca.com, Nicole.DeNezzo@vca.com, Christelle.Follette@vca.com, Yelena.George@vca.com, Max.Gluck@vca.com, Michael.Huber@vca.com, Marcy.Kanuka@vca.com, Kasey.Kensington@vca.com, Martin.Kwan@vca.com, Jenny.Kwok@vca.com, Joshua.Laske@vca.com, Emi.Ohashi@vca.com, Bonnie.Oliphant@vca.com, Rhonda.Schulman@vca.com, Dana.Sengewald@vca.com, Katie.Shanley@vca.com, Stacey.Sullivan@vca.com, Christina.Thompson@vca.com, ",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Beverly Oaks Animal Hospital,"Dr. Laurie Leach, Dr. Brian Wood, Sheena Novick Certified Veterinary Assistant, Liliya Didich Registered Veterinary Technician, Rudy Nava Registered Veterinary Technician",818-788-2022,"14302 Ventura Blvd., Sherman Oaks, CA 91423",bevoaks@gmail.com,11/7,6/1/2023,,Dr. Geist dropped off brochures on 8/4/22; unable to talk to anyone; follow up email sent,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,VCA,Chatoak Pet Clinic,,818-363-7444,"17695 Chatsworth St., Granada Hills, CA 91344","Senta.Belding@vca.com, Cynthia.Binder@vca.com, Rebecca.Florio@vca.com, Donald.Morshead@vca.com, Smitha.Srinath@vca.com, ",11/7,6/1/2023,,geist sent email on 8/4/22 to all doctors,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Eagle Rock Pet Emergency Clinic,,323-254-7382,"4254 Eagle Rock Blvd., Los Angeles, CA 90065","No longer in business, phone disconnected",11/7,6/1/2023,,Number is no longer in service and I checked the website and same number so assuming they are no in business any longer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Veterinary Specialists of the Valley,,818-883-8387,"22123, Ventura Blvd Woodland Hills, CA 91364","Melissa.Céspedes@vca.com, Pierce.Chan@vca.com, John.Chretin@vca.com, Sara.Crespo-Szabo@vca.com, Lisa.Gerlach@vca.com, YinWaBrontie.Kong@vca.com, Brittany. Harris@vca.com, Brittany.Harris@vca.com, Omar.Khalaf@vca.com, John.Chretin@vca.com, Denitza.Kakacheva@vca.com, Sara.Crespo-Szabo@vca.com, Peggy.McMahon@vca.com, Caroline.Sloan@vca.com, Vanessa.Tse@vca.com",11/7,6/1/2023,,Open 24/7 for Emergencies,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Pet Doctor of Sherman Oaks,"Dr. Joseph D. Szanto, Dr. Alexis Cox, Dr. Kolleen Nellett, Dr. Nazbanoo Pahlavi, Dr. Missy Achenbach, Frank Valdez Veterinary Nurse, Ana Ramirez Veterinary Nurse",818.981.1899,"13756 Ventura Blvd Suite 101, Sherman Oaks, CA 91423",info@thepetdrs.com,11/7,6/1/2023,,6/17-Spoke to Annie and she said to send email addressed to Dr. Joseph Szanto (Founder/Medical Director) and it will get forward to him- NG                                                                                                                                    sent REF to us unolicited.  Spoke with Dr. Pahlavi,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valley,,Animal Dermatology Center,Dr. Alexander Werner,(818) 981-8877,"13125 Ventura Blvd, Studio City, CA 91604",animaldermatologycenter@gmail.com,11/7,6/1/2023,,Dr. Geist met with Dr. Werner in person 8/4/22,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,VCA,VCA Specialty and Emergency Center,,818.883.8387,"22123, Ventura Blvd Woodland Hills, CA 91364","Melissa.Céspedes@vca.com, Pierce.Chan@vca.com, John.Chretin@vca.com, Sara.Crespo-Szabo@vca.com, Lisa.Gerlach@vca.com, YinWaBrontie.Kong@vca.com, Brittany. Harris@vca.com, Brittany.Harris@vca.com, Omar.Khalaf@vca.com, John.Chretin@vca.com, Denitza.Kakacheva@vca.com, Sara.Crespo-Szabo@vca.com, Peggy.McMahon@vca.com, Caroline.Sloan@vca.com, Vanessa.Tse@vca.com",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,VCA,VCA West L.A. Animal Hospital,,310-473-2951,"1818 South Sepulveda Blvd., Los Angeles, CA 90025","I think same as Animal Surgical and Emergency Center",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,VCA,Animal Specialty and Emergency Center ,,310-473-1561,"1535 South Sepulveda Blvd., Los Angeles, CA 90025","Zoe.Olmos@vca.com, Vanessa.Washburn@vca.com, Tricia. Tovar@vca.com, Raviv.Balfour@vca.com, Kristin.Barncord@vca.com, Betty.Chow@vca.com, Eric.Chow@vca.com, Sue.Downing@vca.com, Adrienne.Felix@vca.com, Annie.Kang@vca.com, Andres.Ixtlahuac@vca.com, Ingrid.Judge@vca.com, Teresa.Linder@vca.com, Melissa.Ong@vca.com, Roxanne.Regalado@vca.com, Jean.Reichle@vca.com, Daniella.Ross@vca.com, Carley.Saelinger@vca.com, Brittany.Shuster@vca.com, Mary.Somerville@vca.com, Nicole.Spurlock@vca.com, Annika.Sundby@vca.com, David.Szabo@vca.com, Sameer.Trivedi@vca.com, Kimberly.Vu@vca.com, Michell. Zhang@vca.com, ",11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Brent-Air Animal Hospital,"Kevin Schlanger, DVM",310.478.0011,"4477 Sepulveda Blvd, Culver City, CA 90230",,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Carlsen Animal Hospital,"YASMIN GOLSHAHI, RESHMA BIJLANI, SHADIE GHAFFARI",310.445.4692,"11163 La Grange Ave, Los Angeles, CA 90025",CARLSENANIMALHOSPITAL@CAHSTAFF.COM,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Mar Vista Animal Medical Center,"Dr. Wendy Brooks, Dr. Leslie Moore, Dr. Jenny Johnson, Dr. Linda Larsen,",(310) 391-6741,"3850 Grand View Blvd, Los Angeles, CA 90066",MarVistaAMC@gmail.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Westside Pet Clinic,,310-451-8962,"1304 Wilshire Blvd., Santa Monica",phone out of service,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Pacific Animal Clinic,"Michele Karron, DVM, Lindsey Gilbert, DVM, Holly Jordan, DVM",(310) 473-4030,"11343 Santa Monica Blvd, Los Angeles, CA 90025",drk@pacificanimalclinic.com,11/7,6/1/2023,,Michele Knows Geist,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West LA./Palisades,,Pacific Palisades Vet Center,"Dr. Kathy Litochleb, Dr. Holly Jordan, Dr. Cecile Mercado, Daisy Cruise Technician, David Rice Technician, Magen Prado Technician",310.573.7707,"853 Vía De La Paz, Pacific Palisades, CA 90272",hello@palivet.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
