,COLOER KEY --->>>>>,,Priority clinic list ,atena open tracker ,Large hospitals popped in by mellisa will be snail mailing them ,atena open tracker ,Includes Exotics ,,,,,,,,,,,,,,
YES - by Mellisa ,Dogcatdoc@yourdoor,6/1/23_Emailed,NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Cynthia Hervatic,310.780.9465,dogcatdoc@gmail.com,Serving the Westside,Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Dr. Jack Vet Services,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Jack,323-591-4838,info@drjackvetservices.com,"578 Washington Blvd. #306 Marina del Rey, CA 90292",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Dr. May's Veterinary House Calls,6/1/23,NO,Attended,Unknown,Venice,Dr. Armaiti May,,unkown,unkown,,,Dr. Armaiti May,310.614.3530,veganvet@gmail.com,Serving Malibu and Surrounding Areas,Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Eagle Rock Animal Emergency,2/26/25 - 2/27/25_LM DVM Visit ,,,Unknown,"Aetna, SO",,,1,1,,,Dr. Meredith Kennedy,(323) 507-2301,info@erae.vet,"4254 Eagle Rock Blvd., Los Angeles, CA 90065",,,SPE,,Emergency 
YES - by Mellisa ,El Segundo Animal Hospital,6/1/23,Yes,,Unknown,Venice,,1,unkown,unkown,,,Dr. Shin and Streiber,310-606-8811,reception@elsegundoah.com,"11361 W Pico Blvd, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Elite Mobile Vet Care,6/1/23_Emailed,SUPER CLINIC ,,Unknown,Venice,,3,unkown,unkown,,,Dr. Kent,310.956.1702,info@eliteveterinarycare.com,"4139 Via Marina, Marina del Rey CA 90202",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Emerald Animal Hospital,2/18/25_LM DVM Visit 3/6/25_LM,Yes,,Unknown,Venice,,1,3,3,,,Dr. Anahita Agahi DVM,"310-564-0013, 310.475.8555",info@emeraldanimal.com,"11560 West Olympic Blvd, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Encino Veterinary Center,"7/1/25-GF - staff was very nice - Hanna helped us - owner was not aviable to meet left flyers and biz cards >>>>>>3/11/25_LM DVM Visit, Left with CSR
2/25/25_DVM Visit, does exotics, Utilize Ezyvet CLient Portal, seems pretty ok, left packet with CSR, good convo, very accomodating and nice people, coule be goood Ref center",SUPER CLINIC ,,Unknown,"Aetna, SO",,2,3,3,3/11/25,,"Dr. Christine Fabregas-Arnau, Dr. Julio López, Dr. Noosha Kohan, Dr. Ashley Katich, Dr. Lauren Matzuka, Dr. Adriana Razo, Dr. Jessica Callisher",818-783-7387,Hello@EncinoVetCenter.com, 17623 Ventura at White Oak ,,,SPE,,"Internal Medicine, Exotic Medicine, Dentistry & Surgery"
,Exotic Animal Veterinary Center,,,,,,,,,,,,,(626)405-1777,,"171 N Altadena Drive, Suite 120 Pasadena, CA 91107",,,,,FALSE
,Exotic Animal Veterinary Center,,,,,,,,,,,,,(626)405 1777,,"171 N Altadena Dr, Suite 120, Pasadena, CA 91107",,,,,
YES - by Gladys ,Family Pet Clinic of Redondo Beach,6/17_NG _ - spoke to Lupita and she said to address to Owner/Medical Director Dr. Kimberly Daffner and it will get forwarded to her email- NG,NO,,Unknown,Venice,,,unkown,unkown,,,"Dr. Kimberly Daffner (Medical Director) Dr. Angela Randall, Dr. Joyce Wong, Dr. Jessica Friedman, Dr. Kara Carroll, Dr. Kristin Yang, Dr. Laura Schneider,",310.376.0072,frontdesk@familypetclinic.com,"2006 Artesia Blvd, Redondo Beach, CA 90278",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Family Veterinary,6/1/23,NO,,Unknown,"SO, Aetna, Venice",,,unkown,unkown,,,Dr. Shukman,818.438.4096,familyveterinaryinc@gmail.com,ALL LA MOBILE CLINIC ,Google Maps Link,2023-06-01,UNKNOWN,,
,FAR NORTH ,,,,,,,,,,,,,,,,,,,,
Visit 3/21,Five Star Veterinary Center,3/17_GF: New clinic - was not added to this spreadsheet ,,,Unknown,"Aetna, SO",,,NEW CLINIC NEVER VISITED! ,NEW CLINIC NEVER VISITED! ,,,,(818) 362-6599,fivestarvet@gmail.com,"13725 Foothill Blvd, Sylmar, CA 91342",Google Maps Link,,,,
YES - by Mellisa ,Fox Hills Animal Hospital,6/1/23,YES,,Unknown,Venice,,,3,3,,,"DR. WEFKI GIRGIS, DR. ANDREW GIRGIS,",(310) 564-0013,"info@foxhillsah.com, girgisdvm@yahoo.com","5558 Sepulveda Blvd, Culver City, CA 90230",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,"Frank Lavac, DVM",6/1/23,NO,,Unknown,Venice,,,1,1,,,*See VCA Wilshire,310.828.4587,Frank.lavac@vac.com,VCA Wilshire Animal Hospital,Google Maps Link,2023-06-01,UNKNOWN,,
,Garfield Animal Hospital,,,,,,"Dr. Adriana Araujo
Dr. Muhammad Ashiq",,,,,,,,garfieldanimalhosp@pacbell.net,,Google Maps Link,,,,
Visit 3/20 ,Gemcore Vet Services,6/1/23,NO,,Unknown,"Aetna, SO",,,1,unkown,,,Dr. Leticia Gonzalez- Euth Services,818.626.4964,gemcorevetservices@gmail.com,"21701 Devonshire St Suite F, Chatsworth, CA 91311",Google Maps Link,2023-06-01,UNKNOWN,,
,Glendale Small Animal Hospital ,,,,,,,,,,,,,(818) 241-5181,,"831 W. Milford Glendale, CA 91203",,,,,FALSE
YES - by Mellisa ,Gold Coast Mobile Veterinary Care,6/1/23_Emailed,High Potential,,Unknown,Venice,,,unkown,unkown,,,Dr. Jeanine Au,310-528-4026,DoctorAu@gcmvc.com,"Services South Bay, Culver City, Mid-City, WH, Marina del Rey, SM, West LA, PP, San Fernando Valley",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Granada Veterinary Clinic,"2/26/25 - 2/27/25_LM DVM Visit, Becky Hodgins, Referral Packet, small, very tech not savvy, not a lot of possibility for volume Ref.  Would appriciate hand held approach",,,Unknown,"Aetna, SO",,,2,1,,,Dr. Leana Galdjian,818-646-6713,granadavet@yahoo.com,"10838 Sepulveda Blvd, Mission Hills, CA 91345 US",,,GP,,
YES - by Mellisa ,Greentree Veterinary Service,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Susan Greenbaum,,info@greentree.vet.com,"5853 Melrose Ave, Los Angeles, CA 90038",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Hancock Park Vet Clinic,2/5/25_LM DVM Visit,Yes,,Unknown,Venice,,1,2,2,,,Dr. Heather Dean/ Dr Jennier Gabriele -CO Medical Directors,323-936-6952,info@hancockparkvetclinic.com,"5200 Wilshire Blvd, Los Angeles CA 90036 ",,,UNKNOWN,,
Visit 3/19,Holistika Veterinary,3/17_GF: New clinic - was not added to this spreadsheet but popped up in our referral report ,Yes,Attended,,"Aetna, SO",Dr. Sally Lane,1,1,NEW CLINIC NEVER VISITED! ,,,Dr. Magda , (818) 584-2025,holistikavet@gmail.com,"2751 Foothill Boulevard La Crescenta-Montrose, CA 91214",Google Maps Link,,,,
YES - by Gladys ,Hollywood Cat & Dog Hospital,"6/17_NG_  spoke to Andy and only one vet, Dr. Girgis and said to address email to him and he will get it- NG",NO,,Unknown,"Aetna, SO",,,unkown,unkown,,,"Dr. Benjamin Rosnick, Dr. Lindsey Wendt, Mayela Villalobos VT, Dr. Jordan Davis-Powell, Dr. Angela Randall,",(323) 469-3000,Wehovets@gmail.com,"1146 N La Brea Ave, West Hollywood, CA 90038",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Home Pet Doctor,6/1/23,NO,Attended,Unknown,"Aetna, Venice, SO",Dr. Steve Smith,,unkown,unkown,,,Dr. Steve Smith,323.469.3442,steve@homepetdoctor.com,ALL LA MOBILE CLINIC ,Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,L.A. Pet Clinic,3/17/25_ GF:no website? super weird_______6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Reina Gaetan, (323) 461-3575,lapetclinic@yahoo.com,"5853 Melrose Ave, Los Angeles, CA 90038",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/19,Lake Balboa Veterinary Care,"3/3/25_LM__DVM Visit, Manager Karin, Referral Packet, small, very tech not savvy, not a lot of possibility for volume Ref.  Would appriciate hand held approach 2/5/25_LM DVM Visit ",High Potential,,Unknown,"Aetna, SO",,,3,3,,,"Dr. King Moon, Dr. Sindy Habib",​818-907-0929,staff@lbvetcare.com,"6440 Sepulveda Blvd Ste B Van Nuys, CA 91411",,,GP,,
VISIT FOR 3/18,Laurel Pet Hospital,"6/1/23_Materials dropped, DVM visit",YES,,Unknown,"Aetna, SO",,,unkown,unkown,,"TODD CALSYN, VMD, TONY EBLING, VMD, MEREDITH RETTINGER, DVM, ALLISON PANG, DVM, JD CALSYN, VMD, DACVIM, JASON BALARA, DVM, DACVS,",,323.654.7060,lph@laurelpethospital.com,"7970 Santa Monica Blvd, West Hollywood, CA 90046",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/19,Limehouse Veterinary Clinic,3/17_GF: New clinic - was not added to this spreadsheet but popped up in our referral report ,Yes,,,"Aetna, SO",,2,1,NEW CLINIC NEVER VISITED! ,,,,(818) 761-0787,c-barreto@limehousevetclinic.com, 1733 S Victory BlvdGlendale CA,Google Maps Link,,,,
