,Simon Veterinary Surgical,,310-402-3573,info@simonvetsurgical.com,"14302 Ventura Blvd Sherman Oaks, CA 91423",,,"Dr. Patricia Simon, DVM, MPH, DACVPM, Dr. Brandon Sherman, DVM, Dr. Robert “Jeff” Mayo
DVM, DABVP, MANZCVSc",,,,SPE,"Orthopedic, Soft Tissue, Cold Laser, Platelet-Rich Plasma, Torigen Cancer, Physical Rehabilitation, Tibial Plateau Leveling Osteotomy (TPLO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Pet Doctors of Sherman Oaks,,818-981-1899,info@thepetdrs.com,"13756 Ventura Blvd Sherman Oaks, CA 91423",,,"Dr. Joseph D. Szanto, DVM (Owner),  Dr. Alexis Cox, DVM, Dr. Kolleen Nellett, DVM,  Dr. Missy Achenbach, DVM, Dr. Phusita N Davidovich, DVM",,,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WesternU Spay and Neuter ,,818-510-0197,spayneuterev@westernu.edu,"14409 Vanowen St, Van Nuys, CA 91411",,,"David Forster, DVM",,,,GP,,,,,,,,,"Ada Leung, RVT, closed, dropped off",,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vetco in Petco,,818- 997-4009,,"5850 Sepulveda Blvd. Van Nuys, CA 91411",,,,,,,GP,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porter Veterinary Center,,818-349-8387,,"18224 Parthenia St, Northridge, CA 91325",,,"Dr. Erez Gueta, Dr. Sukhwinder Singh Chugh",,,,SPE,"Acupuncture, Stem Cell Consultation, Ophthalmology, Dermatology, Trauma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northridge Pet Hospital,,818-885-8323,,"8615 Lindley Ave, Northridge, CA, 91325",,,Dr. Chaim Mei-Tal,,,,SPE,"Behavior, Cardiology, Dentistry, Dermatology, Geriatric/ Senior Patient Care, Internal Medicine, Laboratory Services, Oncology, Ophthalmology, Diagnostic Imaging, Hip Evaluation, Reproductive Services",,,,,,,,"Dr. Chaim Mei-Tal, left with CSR",,,,,Referral Packet Version 1,,,,,,Covid protocols still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winnetka Animal Clinic,,818-341-8373,,"20203 Saticoy St, Canoga Park, CA 91306",,,"Richard Smollin, DVM (Owner), Seung Lee, DVM",,,,GP,,,,,,,,,Marc Smollin - Manager,,,,,Referral Packet Version 1,,,,,,Covid protocols still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Valley Veterinary Clinic,,818-366-7777,,11152 Balboa Blvd. Granada Hills CA 91344,,,"Dr. William Bender (Owner), Dr. Choi, Dr. Frankie",,,,SPE,"Orthopedics, Dentistry, Dermatology, Cardiology",,,,,,,,Left with CSR,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Topanga Veterinary Clinic,,818-280-3530,topangaveterinaryclinic@gmail.com,"21913 Devonshire St, Chatsworth, CA 91311",,,Dr. Gurmani,,,,GP,,,,,,,,,Viktoriia - Manager,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boulevard Pet Clinic,,818-506-2440,boulevardpetclinic@yahoo.com,"11440 Ventura blvd ste 102, Studio City, CA 91604",,,David Schartz,,,,GP,,,,,,,,,"Dr. Schwartz, left with CSR",,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Missions Veterinary Clinic and Animal Emergency Hospital,,818-922-8669,,"16915 San Fernando Mission Blvd, Granada Hills Ca 91344",,,"Dr. Ani Sefildzhian, Dr. Minae Thak, Dr. Cong Li, Dr. Benedict Pamintuan,  Dr. Richard Kim",,,,SPE,Emergency,,,,,,,,"Danny, left with CSR",,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banfield Pet Hospital,,818-998-3875,,"8986 Tampa Ave, Northridge, CA 91324",,,"Dr. Del Pino, Dr. Valencia",,,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southern California Veterinary Hospital and Animal Skin Clinic,,818-999-1290,scvh@yourvetdoc.com,"5421 Topanga Canyon Blvd, Woodland Hills, CA 91367",,,"Dr. Karen Kelly DVM, ABVP C/F, Dr. Pauline Perry DVM, Dr. Mark C. Rigoni DVM",,,,SPE,Pet Allergy & Dermatology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blue Cross Pet Hospital,,818-980-1313,,"5505 Tujunga Ave, North Hollywood, CA 91601",,,"Dr. Peter Lowenthal, Dr. Nahmi Jones, Dr. James Walters, Dr. Corine Gros",,,,SPE,"Internal Medicine, Laser Therapy, Allergy Care,  Oncology, Emergency Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Parkwood Animal Hospital,,818-884-5506,,"6330 Fallbrook Avenue, Woodland Hills, CA 91367",,,"Dr. Helene Dewynter DVM, Dr. Sean Herbeck, Dr. Sheeba Thomas",,,,SPE,"EKG
OFA X Ray
Orthopedic Surgery
Soft Tissue Surgery
Tonopen
Ultrasound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capri Plaza Pet Clinic,,818-881-6344 ,info@capriplazapetclinic.com,"19582 Ventura Blvd., Tarzana, CA 91356",,,Dr. Tamura,,,,SPE,"Geriatric Care, Radiology, Exotics",,,,,,,,Dr. Tamura,,,DVM,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tarzana Pet Clinic,,818-791-0923,tarzanapetclinic@gmail.com,"18452 Burbank Boulevard, Tarzana, CA 91356",,,"Dr. Debra Hoffman, Dr. Gayle Grasmehr, Dr. Israel Swann",,,,SPE,"Internal Medicine, Radiology, Pain Management",,,,,,,,Left with CSR,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warner Center Pet Clinic,,818-710-8528,epetwcpc@yahoo.com,"20930 Victory Blvd, Woodland Hills, CA 91367",,,"Dr. Debra Jackson, DVM",,,,GP,,,,,,,,,Dr. Debra Jackson,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Value Vet Canoga Park,,818-592-0092,canogapark@myvaluevet.com,"21724 Sherman Way, Canoga Park, CA 91303, USA​",,,"Dr. Shura Bugreeff, Dr. Oh",,,,GP,,,,,,,,,Left with CSR,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granada Veterinary Clinic,,818-646-6713,granadavet@yahoo.com,"10838 Sepulveda Blvd, Mission Hills, CA 91345 US",,,Dr. Leana Galdjian,,,,GP,,,,,,,,,Becky Hodgins,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete Animal Eye Care Center,,(818) 986-4356,,"14120 Ventura Blvd, Sherman Oaks, CA 91423",,,Dr. Bruce Silverman DVM,,,,SPE,ophthalmic services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Vision Care & Surgical Center,,(818) 501-5155,reception@animalvisioncare.com,"12147 Ventura Boulevard, Studio City
California, 91604",,,Dr. Noelle McNabb,,,,SPE,"Ophthalmic: Cataract Surgery, Diagnostic Testing, Examinations, Eye Certification Exams, Prescription Refill Request, Surgical Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TERRITORY - OTHER,,PHONE,EMAIL,ADDRESS,,,,,,,GP OR SPE,SPE SERVICES,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,
,Banner Ads 01,,Details here,,,,,,,,,GP,,YES,,,,,,,,,,,,,,,,,1ST ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,
,Banner Ads 02,,Details here,,,,,,,,,SPE,,YES,,,,,,,,,,,,,,,,,1ST ,,YES,,,,,,,,,,,,,,,,,,,,TY ,,YES,,,,,,,,,,,,,,,,,,,,TY ,
,,,,,,,,,,,,GP,,YES,,,,,,,,,,,,,,,,,1ST ,,YES,,,,,,,,,,,,,,,,,,,,TY ,,YES,,,,,,,,,,,,,,,,,,,,TY ,
,,,,,,,,,,,,SPE,,YES,,,,,,,,,,,,,,,,,1ST ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,
,THREE VISITS NON-REFERRAL CLINICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOVE CLINICS HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,THREE VISITS YES-REFERRAL CLINICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOVE CLINICS HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TERRITORY - WEST LA,,PHONE,EMAIL,ADDRESS,,,,,,,GP OR SPE,SPE SERVICES,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,
,,,,,,,,,,,,GP,,YES,,,,,,,,,,,,,,,,,1ST ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,,NO,,,,,,,,,,,,,,,,,,,,2ND ,
,,,,,,,,,,,,SPE,,YES,,,,,,,,,,,,,,,,,1ST ,,YES,,,,,,,,,,,,,,,,,,,,TY ,,YES,,,,,,,,,,,,,,,,,,,,TY ,
,,,,,,,,,,,,GP,,YES,,,,,,,,,,,,,,,,,1ST ,,YES,,,,,,,,,,,,,,,,,,,,TY ,,YES,,,,,,,,,,,,,,,,,,,,TY ,
