event_date,month,event_name,event_type,clinic,organizer,description,status
2025-05-03,May,National Specially-Abled Pets Day,Awareness,,,,awareness
2025-05-03,May,National Specially-abled Pets Day,Awareness,,,,awareness
2025-05-03,May,National Wildfire Preparedness Day,Awareness,,,,awareness
2025-05-04,May,Be Kind to Animals WeekÂ®,Awareness,,,,awareness
2025-05-04,May,Bird Day,Awareness,,,,awareness
2025-05-04,May,National Pet WeekÂ®,Awareness,,,,awareness
2025-05-04,May,Star Wars Day,Awareness,,,,awareness
2025-05-04,May,Wildfire Preparedness Day,Awareness,,,,awareness
2025-05-05,May,Mayday for Mutts (first Sunday in May),Awareness,,,,awareness
2025-05-08,May,National Animal Disaster Preparedness Day,Awareness,,,,awareness
2025-05-10,May,German Shepherd Day,Awareness,,,,awareness
2025-05-11,May,Migratory Bird Day (second Saturday in May),Awareness,,,,awareness
2025-05-11,May,National Dog Momâ€™s Day (second Saturday in May),Awareness,,,,awareness
2025-05-12,May,Motherâ€™s Day,Awareness,,,,awareness
2025-05-16,May,National Endangered Species Day,Awareness,,,,awareness
2025-05-17,May,Endangered Species Day,Awareness,,,,awareness
2025-05-20,May,National Rescue Dog Day,Awareness,,,,awareness
2025-05-26,May,Memorial Day,Awareness,,,,awareness
2025-05-27,May,Memorial Day,Awareness,,,,awareness
,June,Adopt a Shelter Cat Month,Awareness,,,,awareness
,June,Adopt-a-Cat MonthÂ®,Awareness,,,,awareness
,June,Animal Rights Awareness Week (third week in June),Awareness,,,,awareness
,June,National Dairy Month,Awareness,,,,awareness
,June,National Dog Bite Awareness Week,Awareness,,,,awareness
,June,Pet Appreciation Week (first week in June),Awareness,,,,awareness
,June,Take Your Pet to Work WeekÂ®,Awareness,,,,awareness
2025-06-01,June,Adopt-a-Shelter-Cat Month,Awareness,,,,awareness
2025-06-01,June,National Foster a Pet Month,Awareness,,,,awareness
2025-06-01,June,National Microchipping Month,Awareness,,,,awareness
2025-06-01,June,National Pet Preparedness Month,Awareness,,,,awareness
2025-06-01,June,National Zoo and Aquarium Month,Awareness,,,,awareness
2025-06-01,June,Pet Appreciation Week,Awareness,,,,awareness
2025-06-01,June,Pride Month,Awareness,,,,awareness
2025-06-04,June,Hug Your Cat Day,Awareness,,,,awareness
2025-06-07,June,World Food Safety Day,Awareness,,,,awareness
2025-06-08,June,Best Friends Day,Awareness,,,,awareness
2025-06-08,June,World Oceans Day,Awareness,,,,awareness
2025-06-10,June,World Pet Memorial Day,Awareness,,,,awareness
2025-06-12,June,Peruvian Hairless Dog Day,Awareness,,,,awareness
2025-06-14,June,Missing Mutts Awareness Day (second Saturday in June),Awareness,,,,awareness
2025-06-14,June,National Dog Dad Day,Awareness,,,,awareness
2025-06-15,June,Fatherâ€™s Day,Awareness,,,,awareness
2025-06-16,June,National Pollinator Week,Awareness,,,,awareness
2025-06-16,June,Take Your Cat to Work DayÂ®,Awareness,,,,awareness
2025-06-18,June,National Internet Cat Day,Awareness,,,,awareness
2025-06-18,June,Veterinary Appreciation Day,Awareness,,,,awareness
2025-06-19,June,Juneteenth,Awareness,,,,awareness
2025-06-19,June,Juneteenth National Independence Day,Awareness,,,,awareness
2025-06-19,June,National Garfield the Cat Day,Awareness,,,,awareness
2025-06-19,June,National Pets in Film Day,Awareness,,,,awareness
2025-06-20,June,Take Your Dog to Work Day,Awareness,,,,awareness
2025-06-20,June,Take Your Dog to Work DayÂ®,Awareness,,,,awareness
2025-06-20,June,Ugliest Dog Day,Awareness,,,,awareness
2025-06-21,June,National Dog Party Day,Awareness,,,,awareness
2025-06-22,June,National Pet Choking Prevention Day,Awareness,,,,awareness
2025-06-28,June,National Insurance Awareness Day,Awareness,,,,awareness
,July,National Feed a Rescue Pet Week,Awareness,,,,awareness
2025-07-01,July,ID Your Pet Day,Awareness,,,,awareness
2025-07-01,July,National Lost Pet Prevention Monthâ„¢,Awareness,,,,awareness
2025-07-01,July,National Pet Hydration Awareness Month,Awareness,,,,awareness
2025-07-04,July,Independence Day,Awareness,,,,awareness
2025-07-06,July,National Farriers Week,Awareness,,,,awareness
2025-07-06,July,World Zoonoses Day,Awareness,,,,awareness
2025-07-11,July,All American Pet Photo Day,Awareness,,,,awareness
2025-07-11,July,All-American Pet Photo Day,Awareness,,,,awareness
2025-07-14,July,Shark Awareness Day,Awareness,,,,awareness
2025-07-15,July,Feline Leukemia Day,Awareness,,,,awareness
2025-07-15,July,National Pet Fire Safety Day,Awareness,,,,awareness
2025-07-21,July,National Craft for your Local Shelters Day,Awareness,,,,awareness
2025-07-22,July,AAHA-Accredited Hospital Day,Awareness,,,,awareness
2025-07-26,July,National Dog Photography Day,Awareness,,,,awareness
2025-07-27,July,National Parents Day (fourth Sunday in July),Awareness,,,,awareness
2025-07-30,July,International Friendship Day,Awareness,,,,awareness
,August,Give a Dog a Bone Week (first full week of August),Awareness,,,,awareness
,August,International Assistance Dog Week (first full week of August),Awareness,,,,awareness
2025-08-01,August,Clear the Shelters Month,Awareness,,,,awareness
2025-08-01,August,DOGust Universal Birthday for Shelter Dogs,Awareness,,,,awareness
2025-08-01,August,Itchy Pet Awareness Month,Awareness,,,,awareness
2025-08-01,August,National Dog Month,Awareness,,,,awareness
2025-08-01,August,National Immunization Awareness Month,Awareness,,,,awareness
2025-08-03,August,International Assistance Dog Week,Awareness,,,,awareness
2025-08-04,August,Assistance Dog Day,Awareness,,,,awareness
2025-08-06,August,Fresh Breath Day,Awareness,,,,awareness
2025-08-10,August,Spoil Your Dog Day,Awareness,,,,awareness
2025-08-15,August,Check the Chip Day,Awareness,,,,awareness
2025-08-15,August,National Check the Chip Day,Awareness,,,,awareness
2025-08-16,August,Clear the Shelters Day (third Saturday of August),Awareness,,,,awareness
2025-08-16,August,Saint Rochâ€™s Day (patron saint of dogs),Awareness,,,,awareness
2025-08-17,August,National Non-Profit Day,Awareness,,,,awareness
2025-08-22,August,National Take Your Cat to the Vet Day,Awareness,,,,awareness
2025-08-22,August,Take Your Cat to the Vet Day,Awareness,,,,awareness
2025-08-23,August,Blind Dog Day,Awareness,,,,awareness
2025-08-28,August,Rainbow Bridge Remembrance Day,Awareness,,,,awareness
2025-08-30,August,National Holistic Pet Day,Awareness,,,,awareness
,September,National Deaf Pet Awareness Week (last full week in September),Awareness,,,,awareness
,September,National Dog Week (last full week in September),Awareness,,,,awareness
,September,National Pet Insurance Awareness Month,Awareness,,,,awareness
,September,Suicide Prevention Week,Awareness,,,,awareness
2025-09-01,September,Animal Pain Awareness Month,Awareness,,,,awareness
2025-09-01,September,Ginger Cat Appreciation Day,Awareness,,,,awareness
2025-09-01,September,Happy Cat Month,Awareness,,,,awareness
2025-09-01,September,Labor Day,Awareness,,,,awareness
2025-09-01,September,National Disaster Preparedness Month,Awareness,,,,awareness
2025-09-01,September,National Food Safety Education Month,Awareness,,,,awareness
2025-09-01,September,National Pet Insurance Month,Awareness,,,,awareness
2025-09-01,September,National Service Dog Month,Awareness,,,,awareness
2025-09-01,September,National Suicide Prevention Awareness Month,Awareness,,,,awareness
2025-09-01,September,Pet Memorial Month,Awareness,,,,awareness
2025-09-01,September,Pet Sitter Education Month,Awareness,,,,awareness
2025-09-01,September,Responsible Dog Ownership Month,Awareness,,,,awareness
2025-09-04,September,National Wildlife Day,Awareness,,,,awareness
2025-09-08,September,Iguana Awareness Day,Awareness,,,,awareness
2025-09-08,September,National Dog Walker Appreciation Day,Awareness,,,,awareness
2025-09-10,September,World Suicide Prevention Day,Awareness,,,,awareness
2025-09-13,September,Pet Birth Defect Awareness Day,Awareness,,,,awareness
2025-09-14,September,National Farm Health and Safety Week,Awareness,,,,awareness
2025-09-14,September,National Pet Memorial Day,Awareness,,,,awareness
2025-09-14,September,Telehealth Awareness Week,Awareness,,,,awareness
2025-09-17,September,National Pet Bird Day,Awareness,,,,awareness
2025-09-17,September,National Pet Carbon Monoxide Safety Day,Awareness,,,,awareness
2025-09-19,September,National Meow Like a Pirate Day,Awareness,,,,awareness
2025-09-19,September,National Teach Ag Day,Awareness,,,,awareness
2025-09-20,September,Puppy Mill Awareness Day (third Saturday in September),Awareness,,,,awareness
2025-09-20,September,Responsible Dog Ownership Day (third Saturday in September),Awareness,,,,awareness
2025-09-21,September,Deaf Dog Awareness Week,Awareness,,,,awareness
2025-09-21,September,National Cat and Dog Gut Health Awareness Day,Awareness,,,,awareness
2025-09-21,September,Sea Otter Awareness Week,Awareness,,,,awareness
2025-09-23,September,Dogs in Politics Day,Awareness,,,,awareness
2025-09-25,September,Remember Me ThursdayÂ®,Awareness,,,,awareness
2025-09-28,September,World Rabies Day,Awareness,,,,awareness
2025-09-30,September,National Puppy Mill Survivor Day,Awareness,,,,awareness
,October,Adopt a Shelter Dog Month,Awareness,,,,awareness
,October,Animal Welfare Week,Awareness,,,,awareness
,October,Customer Service Week,Awareness,,,,awareness
,October,National Walk Your Dog Week (first week of October),Awareness,,,,awareness
2025-10-01,October,Adopt-A-Dog MonthÂ®,Awareness,,,,awareness
2025-10-01,October,Adopt-a-Shelter Dog Month,Awareness,,,,awareness
2025-10-01,October,Black Cat Awareness Month,Awareness,,,,awareness
2025-10-01,October,National Animal Safety and Protection Month,Awareness,,,,awareness
2025-10-01,October,National Fire Pup Day,Awareness,,,,awareness
2025-10-01,October,National Pet Obesity Awareness Month,Awareness,,,,awareness
2025-10-01,October,National Pet Wellness Month,Awareness,,,,awareness
2025-10-01,October,National Pitbull Awareness Month,Awareness,,,,awareness
2025-10-01,October,National Walk Your Dog Week,Awareness,,,,awareness
2025-10-01,October,Small Dog Awareness Month,Awareness,,,,awareness
2025-10-01,October,World Animal Month,Awareness,,,,awareness
2025-10-04,October,World Animal Day,Awareness,,,,awareness
2025-10-08,October,Pet Obesity Awareness Day,Awareness,,,,awareness
2025-10-10,October,World Mental Health Day,Awareness,,,,awareness
2025-10-12,October,National Veterinary Technician Week,Awareness,,,,awareness
2025-10-13,October,Columbus Day,Awareness,,,,awareness
2025-10-16,October,International Shakeout Day,Awareness,,,,awareness
2025-10-16,October,World Food Day,Awareness,,,,awareness
2025-10-18,October,National Fetch Day (third Saturday of October),Awareness,,,,awareness
2025-10-21,October,National Pets for Veterans Day,Awareness,,,,awareness
2025-10-21,October,Reptile Awareness Day,Awareness,,,,awareness
2025-10-28,October,Plush Animal Lovers Day,Awareness,,,,awareness
2025-10-31,October,Halloween,Awareness,,,,awareness
,November,Manatee Awareness Month,Awareness,,,,awareness
,November,National Pet Cancer Awareness Month,Awareness,,,,awareness
,November,National Pet Diabetes Month,Awareness,,,,awareness
,November,Senior Pet Health Month,Awareness,,,,awareness
2025-11-01,November,Adopt a Senior Pet Month,Awareness,,,,awareness
2025-11-01,November,National Cook for Your Pets Day,Awareness,,,,awareness
2025-11-01,November,National Senior Pet Month,Awareness,,,,awareness
2025-11-01,November,Peanut Butter Lovers Month,Awareness,,,,awareness
2025-11-01,November,Pet Cancer Awareness Month,Awareness,,,,awareness
2025-11-01,November,Pet Diabetes Month,Awareness,,,,awareness
2025-11-02,November,National Animal Shelter Appreciation Week,Awareness,,,,awareness
2025-11-03,November,One Health Day,Awareness,,,,awareness
2025-11-07,November,National Canine Lymphoma Awareness Day,Awareness,,,,awareness
2025-11-08,November,International Day of Radiology,Awareness,,,,awareness
2025-11-08,November,International Human-Animal Bond Day,Awareness,,,,awareness
2025-11-09,November,Practice Managers Appreciation Week,Awareness,,,,awareness
2025-11-11,November,Veterans Day,Awareness,,,,awareness
2025-11-12,November,World Animal Enrichment Day,Awareness,,,,awareness
2025-11-15,November,National Philanthropy Day,Awareness,,,,awareness
2025-11-16,November,National Slobber Appreciation Day,Awareness,,,,awareness
2025-11-17,November,National Take a Hike Day,Awareness,,,,awareness
2025-11-18,November,Antibiotics Awareness Week,Awareness,,,,awareness
2025-11-23,November,Thankful for My Dog Day,Awareness,,,,awareness
2025-11-23,November,Wolfenoot,Awareness,,,,awareness
2025-11-27,November,Thanksgiving,Awareness,,,,awareness
2025-11-27,November,Thanksgiving Day,Awareness,,,,awareness
2025-12-04,December,World Wildlife Conservation Day,Awareness,,,,awareness
2025-12-09,December,International Day of Veterinary Medicine,Awareness,,,,awareness
2025-12-15,December,Cat Herders Day,Awareness,,,,awareness
2025-12-25,December,Christmas Day,Awareness,,,,awareness
2025-11-05,November,VCC Happy Hour Mixer,Networking,,Venice Chamber & Baja Cantina,"5:00PM-7:00PM at Baja Cantina 311 Washington Blvd Venice CA 90292. Enjoy a relaxed and stylish atmosphere while connecting with Venice Chamber members and prospective members. Complimentary small bites and drink specials. Contact: Mario and Karin 310-822-5425 info@venicechamber.net. Cost: $15 for members.",confirmed
2025-11-13,November,JAKKS Pacific Health Fair,Health Fair,,JAKKS Pacific,"11:00AM-2:00PM (Shift: 9:30AM-3:00PM) at 2951 28th Street Santa Monica CA 90405. Staff: Brandon & Zu. Health Fair and Open Enrollment event for JAKKS Pacific employees only (250 employees). Table set up with spin to win wheel. Tables and chairs provided by organizer. Indoor event. Free to attend. Contact: Trish Ryan 424-268-9512 trishr@jakks.net. HSO and Naomi not required.",confirmed
2025-11-15,November,Cat Show,Community Event,,"Poinsettia City Cat Club (CFA Southwest Region)","9:30AM-4:30PM at Glendale Civic Auditorium. Shifts: Laurence (opening) 8:00AM-4:00PM; Ervin (closing) 9:30AM-5:30PM; HSO confirmed; Naomi confirmed. Cat show featuring various breeds and household pets. Booths with cat toys supplies and apparel. Local rescue adoptions. Booth #13 Prime Spot 10x10 $70. 300-500+ spectators. Demographics: Middle age families and young creatives 20s-30s. ~10 vendors. Indoor event. Provided: chairs and 1 8ft table. Staff minimum: 3. Contact: Lisa 818-269-3756; Lee jnglecats@aol.com 805-585-0559. Payment due by 11/7.",pending decision
2025-11-16,November,Dog PPL Pop-Up Clinics,Pop-Up Clinic,,Dog PPL,"11AM-3PM (Shift: 10AM-4PM) at Dog PPL. Staff: ? Brittany Dr. Celestine Ho. DOG PPL members-only vaccine pop-up. Onsite clinic for vaccines plus marketing spin to win wheel. Marketing materials and clinic supplies (set team knows what to bring). Contact: Milan milan@dogppl.co.",confirmed
2025-11-18,November,VCC Virtual Coffee Connection,Networking,,Venice Chamber,"9:00AM-9:45AM. Virtual - Zoom link sent upon registration. Free casual meetup to sip share and support one another. Bring your favorite coffee or tea. Tips to share or challenges to navigate. Contact: Mario and Karin 310-822-5425 info@venicechamber.net. Cost: Free.",pending decision
2025-11-18,November,SO Chamber Freshly Brewed Conversation,Networking,,Sherman Oaks Chamber of Commerce,"9:30AM-10:30AM at Sherman Oaks Encino Chamber Office 4933 Balboa Blvd Encino CA 91316. Stop by to enjoy conversation and connect with others to collaborate. Contact: Vickie 818-906-1951 hello@shermanoakschamber.org. Cost: Free with RSVP by 11/18.",confirmed
2025-11-22,November,Venice Winter Fest,Festival,,The Venice Fest,"10AM-6PM at Venice Blvd & Grand View Blvd 90066. Shift 1: 8:15AM-4:45PM Mellisa & Alysia. Shift 2: 10:30AM-7PM Laurence & Brittany. Dre help 4:30-6PM. HSO confirmed. Naomi confirmed. Winter wonderland celebration with activities food and live entertainment. Booth #119 YELLOW Zone. Booth Cost: $725.50. Outdoor event - full setup required: tent chairs table marketing supplies. Load-in 7:30-8:30AM via Inglewood Blvd (3771 Inglewood Blvd LA 90066). No power/internet provided. Bring own 32-gal+ trash cans. $500 cleaning fee if trash left. Contact: Silvia silvia@thevenicefest.com. Payment confirmed 11/19/25.",confirmed
,Recurring,Dog Days at Del Rey Lounge,Community Event,,Marina Del Rey Hotel,"Every Monday 2:30PM-6:00PM at Marina del Rey Hotel. Doggie Happy Hour - bring furry friends for fun relaxation and special treats. Discounted drinks while pups mingle in outdoor bar area. Dogs welcome all day; drink specials extend after 6PM. Contact: Rosado mrosado@marinadelreyhotel.com. Inquiring details - called 11/3 left VM and emailed.",pending decision
2025-12-06,December,Venice Sign Christmas Lighting,Festival,,Venice Chamber of Commerce,"6PM-9PM at Windward & Pacific Ave. Shift 1: 12:30PM-8:30PM Jenn Laura. Shift 2: 2:00PM-10:00PM Laurence Brandon. HSO confirmed. 14th annual Venice Sign holiday lighting. Street closures for live music and family-friendly activities. Booth Cost: $750. 5000 people expected. 25 vendors. Space: 10x10. Provided: 1 table (6ft or 8ft) 2 chairs white tent. Bring: brand tablecloths signage extra chairs marketing supplies power charger. Contact: George gianfrancisco@hotmail.com 310-994-1151.",confirmed
2025-12-14,December,Dog PPL Pop-Up Clinics,Pop-Up Clinic,,Dog PPL,"11AM-3PM (Shift: 10AM-4PM) at Dog PPL. Staff: Alysia Alexei Dr. Ho. DOG PPL members-only vaccine pop-up. Onsite clinic for vaccines plus marketing spin to win wheel. Marketing materials and clinic supplies (set team knows what to bring). Contact: Milan milan@dogppl.co.",confirmed
2026-03-14,March,Bark in the Park,Festival,,Conejo Creek North / PARK,"9:00AM-12:00PM at Conejo Creek North. Setup by 8:30AM cleaned up by 2:00PM. Biggest dog festival in Ventura County. Contests (costume big/littlest dog) dog racetrack entertainers agility course cool off zone DIY dog area. Dog-specific vendors food and drinks. Outdoor event. Booth Cost: $30 for 10x10. Deadline to apply 2/20/26. Full setup required: tent chairs tables. Hundreds of local families and dog lovers expected. Free parking in designated areas only. Food vendors on-site. Physical presence required for company awareness on valley side.",confirmed
2026-03-21,March,Venice Love Fest,Festival,,Venice Insider,"11AM-7PM at Windward Circle and the Boardwalk in Venice Beach CA. Free community event with live music food trucks 400+ locally made brands/artists beer gardens games. 100000+ visitors expected. Outdoor event. Physical presence required - also designated First-Aid Pet Tent for festival. Bring own GDD branded tent chairs merch promo supplies. Street parking; unloading at entrance then find street parking. Self-park stations available at own cost. Food vendors on-site.",pending decision
2026-03-22,March,Dog PPL Pop-Up Clinics + First Aid Talk,Pop-Up Clinic,,Dog PPL,"11AM-3PM (Shift: 10AM-4PM) at Dog PPL. Pop-Up Clinic Staff: Dr. Hoh or Dr. V + Alexei + Alysia. First Aid Talk Staff: Doc + Dejia. DOG PPL members-only vaccine pop-up plus First Aid Talk by Doc on basic first aid for pet parents in new clubhouse starting at 12PM. Marketing spin to win wheel. Contact: Milan milan@dogppl.co.",pending decision
